sirka,delka,nadmorska_vyska,max_teplota,extremni_srazky
48.6,12.1,477.0,1.5,0
48.6,12.1,477.0,4.8,1
48.6,12.1,477.0,12.8,0
48.6,12.1,477.0,15.4,0
48.6,12.1,477.0,11.6,0
48.6,12.1,477.0,18.5,0
48.6,12.1,477.0,11.6,1
48.6,12.1,477.0,24.4,0
48.6,12.1,477.0,29.9,0
48.6,12.1,477.0,24.5,0
48.6,12.1,477.0,30.2,0
48.6,12.1,477.0,25.5,1
48.6,12.1,477.0,19.0,1
48.6,12.1,477.0,16.5,1
48.6,12.1,477.0,28.0,0
48.6,12.1,477.0,18.9,0
48.6,12.1,477.0,15.4,0
48.6,12.1,477.0,13.1,1
48.6,12.1,477.0,4.4,0
48.6,12.1,477.0,5.9,1
48.6,12.1,477.0,6.3,0
48.6,12.1,477.0,5.1,0
48.6,12.1,477.0,7.3,0
48.6,12.1,477.0,7.0,0
48.6,12.1,477.0,15.0,0
48.6,12.1,477.0,15.4,0
48.6,12.1,477.0,19.6,0
48.6,12.1,477.0,14.5,1
48.6,12.1,477.0,13.8,1
48.6,12.1,477.0,18.3,1
48.6,12.1,477.0,28.9,0
48.6,12.1,477.0,22.2,0
48.6,12.1,477.0,28.1,0
48.6,12.1,477.0,28.5,0
48.6,12.1,477.0,10.2,1
48.6,12.1,477.0,18.8,0
48.6,12.1,477.0,17.0,0
48.6,12.1,477.0,4.8,0
48.6,12.1,477.0,1.8,0
48.6,12.6,481.0,1.7,0
48.6,12.6,481.0,3.6,1
48.6,12.6,481.0,12.4,0
48.6,12.6,481.0,14.9,0
48.6,12.6,481.0,11.6,0
48.6,12.6,481.0,18.5,0
48.6,12.6,481.0,23.2,0
48.6,12.6,481.0,26.6,0
48.6,12.6,481.0,24.5,0
48.6,12.6,481.0,30.5,0
48.6,12.6,481.0,26.1,1
48.6,12.6,481.0,16.0,1
48.6,12.6,481.0,27.1,0
48.6,12.6,481.0,17.2,0
48.6,12.6,481.0,17.5,0
48.6,12.6,481.0,13.0,1
48.6,12.6,481.0,13.1,1
48.6,12.6,481.0,2.5,0
48.6,12.6,481.0,7.2,0
48.6,12.6,481.0,6.2,1
48.6,12.6,481.0,-0.1,0
48.6,12.6,481.0,13.1,0
48.6,12.6,481.0,10.7,0
48.6,12.6,481.0,19.1,0
48.6,12.6,481.0,8.6,0
48.6,12.6,481.0,22.8,0
48.6,12.6,481.0,15.6,1
48.6,12.6,481.0,14.3,1
48.6,12.6,481.0,21.1,0
48.6,12.6,481.0,26.0,0
48.6,12.6,481.0,22.5,1
48.6,12.6,481.0,26.1,0
48.6,12.6,481.0,20.1,1
48.6,12.6,481.0,28.7,0
48.6,12.6,481.0,10.8,1
48.6,12.6,481.0,18.7,0
48.6,12.6,481.0,17.3,0
48.6,12.6,481.0,4.4,0
48.6,12.6,481.0,2.0,0
48.6,13.1,316.0,2.5,0
48.6,13.1,316.0,3.4,1
48.6,13.1,316.0,12.9,0
48.6,13.1,316.0,14.9,0
48.6,13.1,316.0,12.1,0
48.6,13.1,316.0,18.9,0
48.6,13.1,316.0,23.5,0
48.6,13.1,316.0,26.7,0
48.6,13.1,316.0,24.5,0
48.6,13.1,316.0,17.8,1
48.6,13.1,316.0,30.5,0
48.6,13.1,316.0,26.0,1
48.6,13.1,316.0,17.2,1
48.6,13.1,316.0,28.0,0
48.6,13.1,316.0,17.2,0
48.6,13.1,316.0,14.7,0
48.6,13.1,316.0,13.2,1
48.6,13.1,316.0,12.8,1
48.6,13.1,316.0,5.2,0
48.6,13.1,316.0,0.3,1
48.6,13.1,316.0,6.8,0
48.6,13.1,316.0,0.3,0
48.6,13.1,316.0,8.1,0
48.6,13.1,316.0,7.4,0
